# source: OSM/Overpass, 2026-09-11, license ODbL
52.2438527	10.5279210		50	
52.2472444	8.0620966	190	50	
52.2473196	10.0214900		50	
52.2483098	8.0616734	10		
52.2486848	8.0620439	190		
52.2508922	7.3191085	90	70	
52.2570010	9.0291832	140	70	
52.2574372	10.4231066			
52.2665089	8.6355180	185	50	
52.2672024	8.0535220			
52.2672895	8.0529480			
52.2695471	7.4083165		50	
52.2699071	8.9636670	195	70	
52.2720675	8.0407212		50	
52.2722571	8.0406261		50	
52.2722809	8.0408313		50	
52.2756182	8.9267338	150		
52.2773773	8.9662951		70	
52.2779554	8.9663561			
52.2784348	9.1119482	250	50	
52.2789919	9.1135856	65	50	
52.2798921	9.8770768		50	
52.2861028	7.4369610		50	
52.2884957	9.1504191	80	50	
52.2906263	9.1596014	240	50	
52.2908882	8.0366327		50	
52.2928189	9.1662349	250	50	
52.2947900	8.6183122		50	
52.2973656	9.7428914	330	30	
52.2977701	9.7426410	160	30	
52.2993262	7.4407463		50	
52.2999755	8.0355947	330	50	
52.3002462	10.5169536		50	
52.3005276	9.1824114	225		
52.3008292	10.5168091			
52.3015187	9.1833815	40		
52.3015288	8.0348812		50	
52.3066064	10.1699891	285	70	
52.3079904	10.7100310	80		
52.3079907	10.7101194	80		
52.3079912	10.7101412	80		
52.3079925	10.7102347	80		
52.3081692	10.7100241	100		
52.3081702	10.7101125	100		
52.3089886	10.6702397	280		
52.3089922	10.6701502	280		
52.3091634	10.6702480	260		
52.3091659	10.6701620	260		
52.3091674	10.6701331	260		
52.3091703	10.6700458	260		
52.3149313	9.6623356			
52.3224358	7.0668622		70	
52.3232445	10.4436466	315	50	
52.3268123	7.0661552		70	
52.3277681	10.4610219	300		
52.3277866	10.4609424	300		
52.3279325	10.4611269	285		
52.3279530	10.4610443	285		
52.3279588	10.4610217	285		
52.3279795	10.4609358	285		
52.3280934	10.4604610	125		
52.3281117	10.4603804	125		
52.3310003	9.4314012		50	
52.3321086	9.6378180		70	
52.3369826	7.1510853		70	
52.3383460	8.2125133	70	70	
52.3385169	10.3272691	270		
52.3385285	10.3273544	270		
52.3385770	10.3265241	90		
52.3385864	10.3266095	90		
52.3386439	10.3271119	240		
52.3386531	10.3271959	240		
52.3386590	10.3272241	240		
52.3386659	9.3893626		50	
52.3386688	10.3273112	240		
52.3392667	7.1492863		70	
52.3485317	8.6505261	85	50	
52.3491366	9.7586933		50	
52.3492429	8.7150782	290	50	
52.3498543	10.5358385		80	
52.3507433	9.7195375	195	40	
52.3510922	10.5367905		80	
52.3520111	9.2420376			
52.3521236	9.7193931		40	
52.3528409	9.6940848	40	50	
52.3529702	9.6945068	220	50	
52.3555752	6.6424386		50	
52.3566986	10.1853268	105		
52.3567208	10.1852464	105		
52.3567297	10.1852198	105		
52.3567519	10.1851405	105		
52.3568899	10.1853450	125		
52.3569124	10.1852633	125		
52.3584191	9.7229018			
52.3598271	6.5478032		80	
52.3598520	6.5466820		80	
52.3603016	9.4739934		50	
52.3617028	9.1382755	155	50	
52.3659229	9.7694774	285	50	
52.3661771	9.7267550	210	50	
52.3680837	8.9855753	190	70	
52.3689140	9.3818696		70	Speed trap
52.3692417	9.7320599	310	50	
52.3719623	9.6684776		30	
52.3742713	9.7281317	145	50	
52.3744100	10.4822362		50	
52.3752748	9.7509563		50	
52.3753505	9.8082047	0	50	
52.3768317	9.6978628	180	50	
52.3780848	10.3808384			
52.3786233	9.7218144	125	50	
52.3806554	8.7875213		70	
52.3810342	9.7268299	60	50	
52.3811279	9.7273397	250	50	
52.3818316	9.7382243	310	50	
52.3831749	9.7322050	15	50	
52.3838392	7.3160221	170	70	
52.3843189	9.6638985		50	
52.3846380	9.7339203		50	
52.3847999	9.7340282	205		
52.3872750	9.7098535		50	
52.3872994	9.7098924			
52.3882224	9.4578790	90	50	
52.3923223	8.5549984		70	
52.3924293	9.6902666			
52.3925048	9.6900829	280	50	
52.3926381	9.6897793	105	50	
52.3938586	10.6263790		50	
52.3946625	7.1032351	300	70	
52.3951560	7.1021422	130	70	
52.3952597	9.7626873	80		
52.3982943	10.2964966		50	
52.3991611	9.7359684	355		
52.3998143	9.3054443		50	
52.4008243	10.7535634	61		
52.4088602	8.0175880			Bramsche
52.4111252	9.5945707		50	
52.4117113	9.3448564		50	
52.4156059	9.6692971		50	
52.4156091	9.6692833		50	
52.4178098	9.7334857	330	50	
52.4178343	9.7336359	150	50	
52.4193889	9.3897060		50	
52.4208211	9.7328153	45	50	
52.4219030	10.5344065	190	70	
52.4220703	9.4163162		50	
52.4223332	7.0552092	45		
52.4226476	7.0557961	225		
52.4241337	9.4678917		50	
52.4247275	9.7819997			
52.4247975	10.7538058	85	60	
52.4261087	7.0362728		50	
52.4267106	7.0364957		50	
52.4271105	9.6208866		50	
52.4271346	9.6209279		50	
52.4271649	9.6209727		50	
52.4273036	10.7986576	20	50	
52.4273210	10.7988927	200	50	
52.4274988	10.7984865	110	50	
52.4277793	10.7967927	110		
52.4283415	9.4213943		50	
52.4289353	9.4645943		50	
52.4300425	7.4248761	150	70	
52.4300720	9.0547623	0	70	
52.4304957	7.4243536	330	70	
52.4310737	7.4236768	150	70	
52.4316039	7.4230486	325	70	
52.4342824	9.4594241		50	
52.4347581	10.4752649	300	100	
52.4352720	10.5838798		50	
52.4352856	10.5841234		50	
52.4367464	9.7531240	305	50	
52.4395327	9.6263064		30	
52.4406395	7.0729414	280		
52.4408500	7.0721796	110		
52.4409000	9.5619725		50	
52.4418942	9.4214970	190	50	
52.4420981	10.5729814			
52.4422202	7.3154246		80	
52.4456351	9.7998188		50	
52.4484611	9.5656950		70	
52.4491586	10.4299099			
52.4512161	10.3104894	180	50	
52.4533293	10.3084153	320	50	
52.4564902	8.6186428	190		
52.4590393	10.1324954	75	50	
52.4590404	10.1331774	256	50	
52.4614736	9.5348257		50	
52.4666439	10.5249350		100	
52.4681304	7.3571457		70	
52.4687069	10.6850872		50	
52.4690811	9.7911593		50	
52.4704879	10.6753553		50	
52.4786988	10.4655062		70	
52.4787158	10.4655230		70	
52.4812951	10.2817864	270	70	
52.4852565	10.5751723		70	
52.4897893	7.2373925		70	
52.4898248	7.2379323		70	
52.4934566	10.5420456	275	50	
52.4936471	10.5414636	100	50	
52.4962236	7.5471413		70	
52.4962601	10.7131525		50	
52.5035704	7.3235505	0	50	
52.5037248	7.3235790	170	50	
52.5041553	7.1775982		100	
52.5081042	7.1633796		100	
52.5169899	9.8604798		70	
52.5229067	7.3407805		30	
52.5233038	7.3410337	200	30	
52.5367503	6.9681074			
52.5447593	7.3509904	40	50	
52.5450006	7.3513734	220	50	
52.5459818	7.3519712	40	70	
52.5499075	6.9260858			
52.5501670	8.1674123	150	80	
52.5526037	10.0679761		100	
52.5528933	10.0682381		100	
52.5556558	7.9601306		50	
52.5595512	7.3625171	40		
52.5599530	7.3630805	220		
52.5643568	9.8440653	280	50	
52.5669359	9.8550732	10	50	
52.5702411	7.4959459	160	50	
52.5737649	10.9322062			
52.5761249	6.8907847			
52.5787884	7.5969683	180	100	
52.5818196	8.0055833	75	70	
52.5895706	9.1423738		50	
52.6008699	8.2176146		80	
52.6012902	8.2178979	40		
52.6059803	10.0740121			
52.6064798	10.0637853	285	50	
52.6078589	10.4840242	5	70	
52.6078841	10.4841587	180	70	
52.6090870	8.5883551		70	
52.6123751	8.4404700		50	
52.6312286	10.0811002	350	30	
52.6364652	9.8910772	305	100	
52.6539896	6.6551560		80	
52.6645506	7.1683887			
52.6659018	10.4671798		100	
52.6762397	10.1432708		70	
52.6775066	7.8659186		70	
52.6809481	8.8398986			
52.6811649	8.8889586		70	
52.6816293	7.5178323		70	
52.6822185	7.9452222		50	
52.7018939	7.4190390	290	70	
52.7059104	10.4781184		70	
52.7227062	7.2676600			
52.7248345	7.6900585	255	50	
52.7252270	7.6935243	90	50	
52.7305324	7.7250262		100	
52.7313273	6.4978594	230	50	
52.7320219	7.7331975		70	
52.7330328	10.6202391		70	
52.7349204	9.9754879	20	70	
52.7481130	9.9778857	190	70	
52.7499860	8.7015475		50	
52.7612499	6.8747559		50	
52.7621821	6.8750056	180	50	
52.7656573	8.3844861			
52.7876508	7.4651422			
52.7928562	9.9354134	190	70	
52.7955400	9.9374375	65	70	
52.8045173	6.9829535			
52.8073700	7.0111664	55		
52.8142300	7.4890816		70	
52.8184593	8.0939301		80	
52.8236064	7.9870985		80	
52.8244617	8.0829367		80	
